kf_idx,img_idx,tx,ty,tz,qx,qy,qz,qw,loop_ids
101,316,-1.679785848,-0.259540498,-2.930715561,-0.197869083,-0.161366038,-0.060730660,0.964945913,
102,320,-1.596352577,-0.168490604,-3.548436165,-0.253789257,-0.174811675,-0.074370296,0.948420239,5
103,322,-1.689575553,-0.400191635,-3.829537868,-0.297938731,-0.172158032,-0.044220950,0.937890523,6;7
104,326,-1.886524200,-0.397967815,-4.591308594,-0.332705376,-0.159247419,-0.074904481,0.926464630,8
105,330,-1.455749869,0.142397016,-5.465248108,-0.291049719,-0.197863234,-0.090521918,0.931636187,9;10
106,335,-1.077221870,0.769330919,-6.313573837,-0.256127358,-0.210154294,-0.104670888,0.937698221,11
107,337,-1.209607005,0.219195276,-6.756704330,-0.289965354,-0.213492125,-0.053470062,0.931387223,12;13
108,340,-1.860705137,-0.001929455,-7.254673004,-0.327078427,-0.161662457,-0.042112323,0.930113705,14
109,344,-2.356056929,-0.577552676,-7.967267513,-0.367717736,-0.135017584,-0.004484666,0.920072718,15
110,346,-2.234767437,-0.285433859,-8.470525742,-0.361362981,-0.140962086,-0.008419997,0.921670001,16
111,350,-1.533234358,0.168837547,-9.362927437,-0.351234902,-0.178535799,-0.010927653,0.919042762,17
112,353,-1.705885887,0.736874104,-9.837872505,-0.341440304,-0.158819794,-0.023434497,0.926091581,18;19
113,356,-1.834261775,0.827094078,-10.332716942,-0.358170971,-0.143010647,-0.031385806,0.922104355,20
114,359,-2.113973379,2.206521034,-10.702235222,-0.299658473,-0.143030183,-0.000798137,0.943263765,21
115,363,-2.366225004,1.485740900,-11.280214310,-0.346331350,-0.125879719,0.003042431,0.929623384,22
116,367,0.540213764,1.809499145,-12.073234558,-0.362207115,-0.188815394,-0.121291715,0.904678436,
117,370,4.784234047,0.843008518,-11.528562546,-0.374975059,-0.289562787,-0.287010976,0.832569395,23
118,374,9.972203255,-1.101728320,-7.979364872,-0.325585883,-0.440631794,-0.489118252,0.678675763,24;25;26
119,377,11.287153244,-2.201267481,-5.903052807,-0.304671759,-0.505818171,-0.544536883,0.595653154,27
120,381,11.504680634,-2.387248039,-5.743322372,-0.314432730,-0.532648642,-0.542867690,0.568077595,28;29
121,385,11.255961418,-1.219428062,-6.951833248,-0.299257557,-0.501489433,-0.549435861,0.597556272,
122,388,10.398248672,-1.109932423,-8.535924911,-0.346406794,-0.491391545,-0.499264021,0.623916757,30;31
123,392,9.754223824,0.981081307,-9.717946053,-0.310110998,-0.450340786,-0.494101544,0.675934916,32
124,396,10.347024918,0.036242444,-9.488063812,-0.329634682,-0.470474188,-0.519051673,0.632914193,33
125,400,10.400939941,0.557066321,-9.910786629,-0.325681456,-0.470729689,-0.522591531,0.631856978,34;35
126,404,10.357838631,0.477879405,-10.330035210,-0.338995461,-0.479753385,-0.513642970,0.625371623,36
127,408,10.423044205,1.874898195,-10.775751114,-0.309043771,-0.469361509,-0.522103433,0.641560385,37;38
128,412,10.049818993,3.388557673,-11.530387878,-0.286147777,-0.454627921,-0.516591225,0.666758134,39;40;417
129,418,10.275582314,2.280139685,-12.748758316,-0.325154263,-0.499668889,-0.482825572,0.641471101,41
130,424,8.659168243,3.515305519,-14.772471428,-0.332668519,-0.485929737,-0.431435695,0.683423141,42
131,429,9.339218140,5.837090969,-14.360719681,-0.283147411,-0.468053825,-0.475722571,0.688796919,43
132,433,9.353766441,4.937095642,-15.398858070,-0.326126531,-0.449613045,-0.494457068,0.668581934,
133,437,8.833667755,6.513453007,-15.698805809,-0.305868504,-0.428797626,-0.492678992,0.692708066,
134,441,16.128587723,1.105346799,-11.283536911,0.296997650,0.487625759,0.670912946,-0.473169457,
135,445,18.957620621,-5.259491920,-2.463977814,0.230207622,0.580670489,0.752108196,-0.210141607,
136,449,16.127798080,-9.596294403,5.713793755,0.112084654,0.571729496,0.812219744,0.029351326,44;45;46
137,453,14.914765358,-10.488969803,6.448839664,0.143654821,0.603550613,0.779479884,0.086608661,47;48
138,455,14.927457809,-10.335799217,6.222868443,0.143804090,0.601654653,0.781008753,0.085775222,49;428
139,460,15.217335701,-9.523696899,5.418313026,0.164744977,0.625817781,0.758643903,0.075303563,50;51;52
140,468,15.881028175,-7.770350933,4.117744923,0.161287491,0.633056749,0.755686280,0.046516062,
141,470,16.134656906,-7.334586620,2.875926256,0.162102141,0.600553059,0.782600388,0.024403930,
142,474,14.555624008,-8.325460434,5.343229771,0.123137855,0.593007603,0.786484365,0.120918961,
143,476,14.462538719,-8.745055199,4.588059425,0.152910207,0.596269416,0.777949196,0.126001191,
144,479,14.481620789,-8.121776581,4.562665462,0.150771119,0.614046767,0.763236051,0.132986345,
145,483,14.649960518,-8.074488640,2.705162525,0.186053054,0.607177537,0.763383046,0.118177936,
146,491,15.850007057,-5.021063328,-0.058959402,0.194296167,0.629085914,0.752431327,0.018628199,
147,493,15.700735092,-5.231824398,-0.306014448,0.203570526,0.622135701,0.755447799,0.028369605,
148,496,15.574758530,-5.098751545,-0.840056539,0.204803628,0.570248614,0.794854599,0.032835319,
149,501,15.182577133,-6.244654179,-1.161583185,0.234193244,0.560424402,0.790534668,0.078313170,
150,503,13.204782486,-9.042225838,3.198807716,0.177866642,0.540265093,0.784590406,0.246769088,
151,507,4.291893005,-12.529894829,8.886890411,0.052999997,0.411996327,0.714895766,0.562471395,
152,510,-0.004693566,-12.384812355,9.350509644,0.022461375,0.363317367,0.645216797,0.671707721,
153,513,-0.113600120,-11.116157532,10.324028015,-0.017258480,0.390675769,0.624353292,0.676208219,
154,515,-0.974053741,-10.460368156,10.487381935,-0.062974852,0.370445860,0.616954395,0.691499319,
155,518,-0.889456868,-10.033315659,10.266788483,-0.065852131,0.377073793,0.612075644,0.691984290,
156,521,-0.808777392,-9.696617126,9.982574463,-0.059293052,0.385356136,0.606752920,0.692701867,
157,523,-0.785286546,-9.520578384,9.594408035,-0.048283223,0.387710957,0.604002125,0.694644065,
158,525,-0.037246257,-9.399171829,9.123276711,-0.035881148,0.402230417,0.615256350,0.677039776,
159,526,-0.409402668,-8.892014503,9.269748688,-0.054356956,0.406764803,0.601383400,0.685511286,
160,528,-0.274479747,-8.222202301,9.147458076,-0.062047907,0.423782975,0.592429255,0.682338351,
161,530,-0.031947676,-8.133244514,8.637249947,-0.045890250,0.427431271,0.596023649,0.678197908,
162,532,0.328813106,-7.714181423,8.458837509,-0.059361505,0.436494935,0.603695810,0.664454477,
163,535,0.238721624,-7.853929520,7.541014194,-0.035326943,0.422014741,0.609983493,0.669757944,
164,537,0.135277703,-7.260300159,7.673181057,-0.057249943,0.429019395,0.602381291,0.670672485,
165,540,0.195319518,-8.144076347,5.888243198,-0.007660666,0.371218552,0.643196570,0.669653846,
166,543,0.061599065,-7.710149288,5.633897305,-0.011506684,0.372717596,0.635941438,0.675668319,
167,547,0.241706282,-6.725406170,5.279415131,-0.025099034,0.407298820,0.616715042,0.673156940,
168,549,0.302755624,-6.516922951,4.888159752,-0.021242673,0.409332927,0.617047258,0.671749942,
169,551,0.560397744,-6.010565758,4.987533569,-0.047794491,0.426053626,0.617610906,0.659356325,
170,554,0.619095922,-5.924686909,4.087575436,-0.034858064,0.411909319,0.627996618,0.659345035,
